seeds=40 N=9 T=6 sigma_true=0.1
ssvs tau0=0.02 tau1=1.5 draws=20000 burn=5000

case     method       correct   false  missed  exact  med sig  med frob
block    mple           26.20    1.57    0.80   14/40   0.0908     0.673
block    lasso-cv       20.85   18.43    6.15    0/40   0.6144     3.730
block    lasso-bic      23.70   18.27    3.30    0/40   0.0649     2.799
block    alasso-bic     23.32    8.28    3.67    0/40   0.0924     2.791
block    lasso-best     19.27    1.68    7.72    0/40   0.7462     3.542
block    ssvs           26.32    1.50    0.68   10/40   0.0915     0.785

scatter  mple           26.40    1.40    0.60   17/40   0.0887     0.596
scatter  lasso-cv       21.73   19.30    5.28    0/40   0.4297     3.321
scatter  lasso-bic      23.98   17.00    3.02    0/40   0.0649     2.786
scatter  alasso-bic     23.57    7.85    3.42    2/40   0.0963     2.714
scatter  lasso-best     19.68    2.35    7.33    0/40   0.6960     3.224
scatter  ssvs           26.00    1.12    1.00   17/40   0.0941     0.525

paired against mple, both cases pooled (errors = false + missed)
  lasso-cv    worse than mple  80   better   0   equal   0   of 80
  lasso-bic   worse than mple  80   better   0   equal   0   of 80
  alasso-bic  worse than mple  77   better   2   equal   1   of 80
  lasso-best  worse than mple  79   better   0   equal   1   of 80
  ssvs        worse than mple  24   better  24   equal  32   of 80

rows selected with more cells than observations: 0

      seed case     method        M  corr  false  miss   sigma    frob
  20281726 block    lasso-bic    41    24     17     3  0.0815   2.676
  20281726 block    alasso-bic   32    24      8     3  0.0948   2.767
  20281726 block    lasso-best   19    19      0     8  0.9025   4.982
  20281726 block    ssvs         27    27      0     0  0.1011   0.319
  20281726 scatter  mple         28    24      4     3  0.0861   6.279
  20281726 scatter  lasso-cv     46    23     23     4  0.1629   2.616
  20281726 scatter  lasso-bic    41    22     19     5  0.0842   2.599
  20281726 scatter  alasso-bic   33    22     11     5  0.0945   2.609
  20281726 scatter  lasso-best   17    17      0    10  1.1620   4.381
  20281726 scatter  ssvs         28    27      1     0  0.0863   0.308
  20282726 block    mple         27    27      0     0  0.1040   0.240
  20282726 block    lasso-cv     37    23     14     4  0.7815   3.074
  20282726 block    lasso-bic    44    26     18     1  0.0505   2.433
  20282726 block    alasso-bic   31    26      5     1  0.0955   2.373
  20282726 block    lasso-best   23    21      2     6  1.0243   3.982
  20282726 block    ssvs         28    27      1     0  0.1032   0.300
  20282726 scatter  mple         28    27      1     0  0.1003   0.614
  20282726 scatter  lasso-cv     36    17     19    10  2.4347   6.573
  20282726 scatter  lasso-bic    41    25     16     2  0.0648   1.721
  20282726 scatter  alasso-bic   31    25      6     2  0.1063   1.711
  20282726 scatter  lasso-best   27    22      5     5  0.8958   2.274
  20282726 scatter  ssvs         28    27      1     0  0.1002   0.658
  20283726 block    mple         27    27      0     0  0.1082   0.255
  20283726 block    lasso-cv     29    18     11     9  1.3690   3.562
  20283726 block    lasso-bic    44    25     19     2  0.0825   1.854
  20283726 block    alasso-bic   32    26      6     1  0.0934   1.287
  20283726 block    lasso-best   19    18      1     9  1.1414   3.538
  20283726 block    ssvs         27    27      0     0  0.1079   0.252
  20283726 scatter  mple         27    27      0     0  0.1030   0.236
  20283726 scatter  lasso-cv     40    21     19     6  0.3548   3.402
